name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl,composite,wilson_lower
N36_cd2_p2_v1.8,N36-连续下跌反弹,4,723,361,362,49.93084370677732,0.7512043085169396,0.0,39.03192584963953,-17.030567685589524,5.925422898642118,-4.40872086008856,1.3440231501803659,50.700661660867986,46.29619784261484
N36_cd2_p3_v1.3,N36-连续下跌反弹,4,928,464,464,50.0,0.9552799053813601,0.05672149744753163,41.430948419301174,-17.030567685589524,6.329435310630528,-4.418875499867811,1.4323633491868848,51.345371901326374,46.78963044369313
N36_cd2_p3_v1.5,N36-连续下跌反弹,4,788,396,392,50.25380710659898,0.8750898363084627,0.09487666034158071,41.430948419301174,-17.030567685589524,6.137290061749584,-4.440806309800428,1.3820215595094028,51.13236522131061,46.76999377186557
N36_cd2_p3_v1.8,N36-连续下跌反弹,4,645,326,319,50.542635658914726,0.9093955380198395,0.12237405669999202,39.03192584963953,-17.030567685589524,6.11316508839423,-4.408563312832988,1.3866569797465034,50.85627772379573,46.69234208555848
N36_cd2_p4_v1.3,N36-连续下跌反弹,4,780,411,369,52.69230769230769,1.2490655692076078,0.4545454545454408,41.430948419301174,-17.030567685589524,6.337012381590621,-4.417997140519819,1.4343631695617196,52.814941058619546,49.183812348406946
N36_cd2_p4_v1.5,N36-连续下跌反弹,4,676,357,319,52.81065088757396,1.1587880075470154,0.5163511187607606,41.430948419301174,-17.030567685589524,6.1635136430006625,-4.442111841534353,1.3875187890072842,52.5559931991854,49.04211187310585
N36_cd2_p4_v1.8,N36-连续下跌反弹,4,564,297,267,52.659574468085104,1.1469461117534303,0.49157303370785943,39.03192584963953,-17.030567685589524,6.134345174727718,-4.400834868408987,1.3939048744506606,52.01770523033489,48.53480221225879
N36_cd2_p5_v1.3,N36-连续下跌反弹,4,681,353,328,51.83553597650514,1.0932315474600276,0.3364171572750152,41.430948419301174,-17.030567685589524,6.319489968599629,-4.531369741144491,1.3946092086062063,51.89101206266143,48.08292914829694
N36_cd2_p5_v1.5,N36-连续下跌反弹,4,603,314,289,52.072968490878935,1.035850111301127,0.42253521126760507,41.430948419301174,-17.030567685589524,6.12117567129997,-4.489382504060948,1.3634783103829884,51.766725640076864,48.08502804621339
N36_cd2_p5_v1.8,N36-连续下跌反弹,4,516,265,251,51.356589147286826,0.9800207966686939,0.2629272567922891,39.03192584963953,-17.030567685589524,6.094830596586296,-4.4200771992602474,1.3788968657846832,50.89327050722952,47.04989566590267
N36_cd3_p2_v1.3,N36-连续下跌反弹,4,648,332,316,51.23456790123457,0.9184769249634942,0.2629272567922891,41.430948419301174,-16.48535564853556,5.829818174427554,-4.241539830802547,1.3744579579545022,51.35171170742605,47.39001289015441
N36_cd3_p2_v1.5,N36-连续下跌反弹,4,523,268,255,51.24282982791587,0.8175527146232742,0.18525379770284456,41.430948419301174,-16.48535564853556,5.5766437789165835,-4.184158678437926,1.3327993050680655,50.84580496264659,46.96548823156765
N36_cd3_p2_v1.8,N36-连续下跌反弹,4,395,198,197,50.12658227848101,0.633350283023535,0.05672149744753163,31.32275132275133,-16.48535564853556,5.53972193054255,-4.2979268043305945,1.2889288679743736,49.394560794593055,45.21826797729461
N36_cd3_p3_v1.3,N36-连续下跌反弹,4,560,283,277,50.535714285714285,0.967230453891864,0.12237405669999202,41.430948419301174,-16.48535564853556,6.033303786883271,-4.208577319525352,1.4335732312418852,50.51401024792973,46.40517559815951
N36_cd3_p3_v1.5,N36-连续下跌反弹,4,466,235,231,50.42918454935622,0.8453193426597322,0.09487666034158071,41.430948419301174,-16.48535564853556,5.784880987282801,-4.179775836935161,1.3840170413360229,50.00081534815003,45.90467572895309
N36_cd3_p3_v1.8,N36-连续下跌反弹,4,366,181,185,49.45355191256831,0.7005153023949262,0.0,31.32275132275133,-16.48535564853556,5.7712687357298496,-4.260600218867885,1.3545670654974935,48.74154249701302,44.3636608210459
N36_cd3_p4_v1.3,N36-连续下跌反弹,4,479,251,228,52.4008350730689,1.0870823047370552,0.36496350364962904,41.430948419301174,-16.48535564853556,5.930717355189318,-4.245165053436266,1.3970522419119311,51.44664019413071,47.92695107821582
N36_cd3_p4_v1.5,N36-连续下跌反弹,4,406,212,194,52.21674876847291,0.9689522727490524,0.36496350364962904,41.430948419301174,-16.48535564853556,5.690283066945573,-4.190440141527555,1.357920140787711,50.92320840241754,47.35987535540413
